ID,Indicator,Country,"Country Code",Year,"Country Score","Country Color","Country Cateory","Created By","Created At"
63,"Overall Score",Haiti,HTI,2023,4.738543456,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
64,"Overall Score",Hungary,HUN,2023,1.765187595,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
65,"Overall Score",Indonesia,IDN,2023,3.394927256,#fee98b,Medium,Admin,"2024-12-03 09:49:15"
66,"Overall Score",India,IND,2023,3.930575278,#fdae61,High,Admin,"2024-12-03 09:49:15"
67,"Overall Score",Ireland,IRL,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
68,"Overall Score",Iran,IRN,2023,3.175345685,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
69,"Overall Score",Iraq,IRQ,2023,3.761684019,#fdae61,High,Admin,"2024-12-03 09:49:15"
70,"Overall Score",Iceland,ISL,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
71,"Overall Score",Israel,ISR,2023,3.07238167,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
72,"Overall Score",Italy,ITA,2023,1.378681945,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
73,"Overall Score",Jamaica,JAM,2023,2.664623472,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
74,"Overall Score",Jordan,JOR,2023,2.942744489,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
75,"Overall Score",Japan,JPN,2023,1.318466887,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
76,"Overall Score",Kazakhstan,KAZ,2023,2.485870007,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
77,"Overall Score",Kenya,KEN,2023,3.933398841,#fdae61,High,Admin,"2024-12-03 09:49:15"
78,"Overall Score",Kyrgyzstan,KGZ,2023,3.078981434,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
79,"Overall Score",Cambodia,KHM,2023,4.099283204,#fdae61,High,Admin,"2024-12-03 09:49:16"
80,"Overall Score","South Korea",KOR,2023,1.633149121,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
81,"Overall Score",Kuwait,KWT,2023,1.977070196,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
82,"Overall Score",Laos,LAO,2023,4.124517491,#fdae61,High,Admin,"2024-12-03 09:49:16"
83,"Overall Score",Lebanon,LBN,2023,3.457926973,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
84,"Overall Score",Liberia,LBR,2023,3.598742493,#fdae61,High,Admin,"2024-12-03 09:49:16"
85,"Overall Score",Libya,LBY,2023,3.542785418,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
86,"Overall Score","Sri Lanka",LKA,2023,3.283795876,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
87,"Overall Score",Lesotho,LSO,2023,4.11904815,#fdae61,High,Admin,"2024-12-03 09:49:16"
88,"Overall Score",Lithuania,LTU,2023,1.982542726,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
89,"Overall Score",Latvia,LVA,2023,1.703464825,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
90,"Overall Score",Morocco,MAR,2023,3.114275979,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
91,"Overall Score",Moldova,MDA,2023,2.556622163,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
92,"Overall Score",Madagascar,MDG,2023,4.426816584,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
93,"Overall Score",México,MEX,2023,3.333318294,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
94,"Overall Score","North Macedonia",MKD,2023,3.365862553,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
95,"Overall Score",Mali,MLI,2023,4.553171057,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
96,"Overall Score",Myanmar,MMR,2023,4.333638985,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
97,"Overall Score",Montenegro,MNE,2023,2.007578424,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
98,"Overall Score",Mongolia,MNG,2023,3.311525895,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
99,"Overall Score",Mozambique,MOZ,2023,4.207284513,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
100,"Overall Score",Mauritania,MRT,2023,4.603105979,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
101,"Overall Score",Mauritius,MUS,2023,2.151958923,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
102,"Overall Score",Malawi,MWI,2023,4.079518259,#fdae61,High,Admin,"2024-12-03 09:49:16"
103,"Overall Score",Malaysia,MYS,2023,2.37559411,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
104,"Overall Score",Namibia,NAM,2023,3.979987641,#fdae61,High,Admin,"2024-12-03 09:49:16"
105,"Overall Score",Niger,NER,2023,4.630997466,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
106,"Overall Score",Nigeria,NGA,2023,4.564966282,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
107,"Overall Score",Nicaragua,NIC,2023,3.502622057,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
108,"Overall Score",Netherlands,NLD,2023,1.099889682,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
109,"Overall Score",Norway,NOR,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
110,"Overall Score",Nepal,NPL,2023,3.64473729,#fdae61,High,Admin,"2024-12-03 09:49:16"
111,"Overall Score","New Zealand",NZL,2023,1,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
112,"Overall Score",Oman,OMN,2023,2.266373933,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
113,"Overall Score",Pakistan,PAK,2023,4.010157618,#fdae61,High,Admin,"2024-12-03 09:49:16"
114,"Overall Score",Panama,PAN,2023,2.98733237,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
115,"Overall Score",Peru,PER,2023,3.389772652,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
116,"Overall Score",Philippines,PHL,2023,3.455327366,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
117,"Overall Score","Papua New Guinea",PNG,2023,4.285036668,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
118,"Overall Score",Poland,POL,2023,1.491220902,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
119,"Overall Score","North Korea",PRK,2023,3.926339932,#fdae61,High,Admin,"2024-12-03 09:49:16"
120,"Overall Score",Portugal,PRT,2023,1.441361117,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
121,"Overall Score",Paraguay,PRY,2023,3.647256591,#fdae61,High,Admin,"2024-12-03 09:49:16"
122,"Overall Score",Palestine,PSE,2023,3.813155873,#fdae61,High,Admin,"2024-12-03 09:49:16"
123,"Overall Score",Qatar,QAT,2023,2.015848754,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
124,"Overall Score",Romania,ROU,2023,2.229361819,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
125,"Overall Score",Russia,RUS,2023,3.431453936,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
126,"Overall Score",Rwanda,RWA,2023,4.186107786,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
127,"Overall Score","Saudi Arabia",SAU,2023,2.510770927,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
128,"Overall Score",Sudan,SDN,2023,4.551759275,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
129,"Overall Score",Senegal,SEN,2023,3.55203442,#fdae61,High,Admin,"2024-12-03 09:49:16"
130,"Overall Score",Singapore,SGP,2023,1.409951109,#1a9850,"Very Low",Admin,"2024-12-03 09:49:16"
131,"Overall Score","Solomon Islands",SLB,2023,3.285245838,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
132,"Overall Score","Sierra Leone",SLE,2023,4.069635786,#fdae61,High,Admin,"2024-12-03 09:49:16"
133,"Overall Score","El Salvador",SLV,2023,3.487798348,#fee98b,Medium,Admin,"2024-12-03 09:49:16"
134,"Overall Score",Somalia,SOM,2023,4.950538829,#d73027,"Very High",Admin,"2024-12-03 09:49:16"
135,"Overall Score",Serbia,SRB,2023,3.295405864,#a6d96a,Low,Admin,"2024-12-03 09:49:16"
136,"Overall Score","South Sudan",SSD,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
137,"Overall Score",Slovakia,SVK,2023,1.893449893,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
138,"Overall Score",Slovenia,SVN,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
139,"Overall Score",Sweden,SWE,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
140,"Overall Score",Swaziland,SWZ,2023,4.174813531,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
141,"Overall Score",Syria,SYR,2023,4.41503197,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
142,"Overall Score",Chad,TCD,2023,4.824939055,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
143,"Overall Score",Togo,TGO,2023,4.203049167,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
144,"Overall Score",Thailand,THA,2023,3.476153117,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
145,"Overall Score",Tajikistan,TJK,2023,3.940980309,#fdae61,High,Admin,"2024-12-03 09:49:17"
146,"Overall Score",Turkmenistan,TKM,2023,2.663689219,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
147,"Overall Score",Timor-Leste,TLS,2023,4.008223277,#fdae61,High,Admin,"2024-12-03 09:49:17"
148,"Overall Score","Trinidad and Tobago",TTO,2023,3.341862262,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
149,"Overall Score",Tunisia,TUN,2023,3.491094655,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
150,"Overall Score",Türkiye,TUR,2023,3.237346345,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
151,"Overall Score",Tanzania,TZA,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
152,"Overall Score",Uganda,UGA,2023,4.279285385,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
153,"Overall Score",Ukraine,UKR,2023,3.849492417,#fdae61,High,Admin,"2024-12-03 09:49:17"
154,"Overall Score",Uruguay,URY,2023,2.001012681,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
155,"Overall Score","United States",USA,2023,1.754229517,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
156,"Overall Score",Uzbekistan,UZB,2023,2.955450525,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
157,"Overall Score",Venezuela,VEN,2023,3.675584843,#fdae61,High,Admin,"2024-12-03 09:49:17"
158,"Overall Score",Vietnam,VNM,2023,3.895986623,#fdae61,High,Admin,"2024-12-03 09:49:17"
159,"Overall Score",Vanuatu,VUT,2023,3.258287665,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
160,"Overall Score",Yemen,YEM,2023,4.474584109,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
161,"Overall Score","South Africa",ZAF,2023,3.914339787,#fdae61,High,Admin,"2024-12-03 09:49:17"
162,"Overall Score",Zambia,ZMB,2023,4.238343713,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
163,"Overall Score",Zimbabwe,ZWE,2023,4.346345021,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
164,"Exposure to Violence and Abuse","No Country",AFG,2023,4.375686888,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
165,"Extreme Deprivation","No Country",AFG,2023,4.668081891,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
166,"Extreme Discrimination","No Country",AFG,2023,4.60842134,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
167,Urbanisation,"No Country",AFG,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
168,"Vulnerability to Disasters","No Country",AFG,2023,4.757874853,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
169,"Exposure to Violence and Abuse",Angola,AGO,2023,3.29002846,#fdae61,High,Admin,"2024-12-03 09:49:17"
170,"Extreme Deprivation",Angola,AGO,2023,4.654407362,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
171,"Extreme Discrimination",Angola,AGO,2023,3.956883218,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
172,Urbanisation,Angola,AGO,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
173,"Vulnerability to Disasters",Angola,AGO,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
174,"Exposure to Violence and Abuse",Albania,ALB,2023,2.602096269,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
175,"Extreme Deprivation",Albania,ALB,2023,3.713972719,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
176,"Extreme Discrimination",Albania,ALB,2023,2.198574959,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
177,Urbanisation,Albania,ALB,2023,2.910993881,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
178,"Vulnerability to Disasters",Albania,ALB,2023,3.438366077,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
179,"Exposure to Violence and Abuse","United Arab Emirates",ARE,2023,1.958793661,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
180,"Extreme Deprivation","United Arab Emirates",ARE,2023,2.023324301,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
181,"Extreme Discrimination","United Arab Emirates",ARE,2023,2.0040651,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
182,Urbanisation,"United Arab Emirates",ARE,2023,3.830355822,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
183,"Vulnerability to Disasters","United Arab Emirates",ARE,2023,2.326331583,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
184,"Exposure to Violence and Abuse",Argentina,ARG,2023,2.617625717,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
185,"Extreme Deprivation",Argentina,ARG,2023,3.526363156,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
186,"Extreme Discrimination",Argentina,ARG,2023,1.898561025,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
187,Urbanisation,Argentina,ARG,2023,3.477314316,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
188,"Vulnerability to Disasters",Argentina,ARG,2023,2.912689969,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
189,"Exposure to Violence and Abuse",Armenia,ARM,2023,3.035409726,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
190,"Extreme Deprivation",Armenia,ARM,2023,3.810315991,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
191,"Extreme Discrimination",Armenia,ARM,2023,2.433951178,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
192,Urbanisation,Armenia,ARM,2023,3.547062524,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
193,"Vulnerability to Disasters",Armenia,ARM,2023,4.083270818,#fdae61,High,Admin,"2024-12-03 09:49:17"
194,"Exposure to Violence and Abuse",Australia,AUS,2023,1.285300131,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
195,"Extreme Deprivation",Australia,AUS,2023,2.894122558,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
196,"Extreme Discrimination",Australia,AUS,2023,1.331642694,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
197,Urbanisation,Australia,AUS,2023,3.099209506,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
198,"Vulnerability to Disasters",Australia,AUS,2023,2.972070939,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
199,"Exposure to Violence and Abuse",Austria,AUT,2023,1.406236048,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
200,"Extreme Deprivation",Austria,AUT,2023,1.741120283,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
201,"Extreme Discrimination",Austria,AUT,2023,1.751635567,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
202,Urbanisation,Austria,AUT,2023,2.412904604,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
203,"Vulnerability to Disasters",Austria,AUT,2023,1.672805819,#1a9850,"Very Low",Admin,"2024-12-03 09:49:17"
204,"Exposure to Violence and Abuse",Azerbaijan,AZE,2023,3.732586519,#fdae61,High,Admin,"2024-12-03 09:49:17"
205,"Extreme Deprivation",Azerbaijan,AZE,2023,3.397279336,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
206,"Extreme Discrimination",Azerbaijan,AZE,2023,3.103768659,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
207,Urbanisation,Azerbaijan,AZE,2023,3.547062524,#a6d96a,Low,Admin,"2024-12-03 09:49:17"
208,"Vulnerability to Disasters",Azerbaijan,AZE,2023,3.835964974,#fee98b,Medium,Admin,"2024-12-03 09:49:17"
209,"Exposure to Violence and Abuse",Burundi,BDI,2023,3.634116369,#fdae61,High,Admin,"2024-12-03 09:49:17"
210,"Extreme Deprivation",Burundi,BDI,2023,4.398320731,#d73027,"Very High",Admin,"2024-12-03 09:49:17"
211,"Extreme Discrimination",Burundi,BDI,2023,3.946886393,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
212,Urbanisation,Burundi,BDI,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
213,"Vulnerability to Disasters",Burundi,BDI,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
214,"Exposure to Violence and Abuse",Belgium,BEL,2023,1.591130152,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
215,"Extreme Deprivation",Belgium,BEL,2023,1.565773022,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
216,"Extreme Discrimination",Belgium,BEL,2023,1.383481675,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
217,Urbanisation,Belgium,BEL,2023,2.671012262,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
218,"Vulnerability to Disasters",Belgium,BEL,2023,2.305597461,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
219,"Exposure to Violence and Abuse",Benin,BEN,2023,3.823539654,#fdae61,High,Admin,"2024-12-03 09:49:18"
220,"Extreme Deprivation",Benin,BEN,2023,4.201283202,#fdae61,High,Admin,"2024-12-03 09:49:18"
221,"Extreme Discrimination",Benin,BEN,2023,3.824324001,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
222,Urbanisation,Benin,BEN,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
223,"Vulnerability to Disasters",Benin,BEN,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
224,"Exposure to Violence and Abuse","Burkina Faso",BFA,2023,4.761401503,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
225,"Extreme Deprivation","Burkina Faso",BFA,2023,4.206877327,#fdae61,High,Admin,"2024-12-03 09:49:18"
226,"Extreme Discrimination","Burkina Faso",BFA,2023,3.687478439,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
227,Urbanisation,"Burkina Faso",BFA,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
228,"Vulnerability to Disasters","Burkina Faso",BFA,2023,4.472874201,#fdae61,High,Admin,"2024-12-03 09:49:18"
229,"Exposure to Violence and Abuse",Bangladesh,BGD,2023,4.053463345,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
230,"Extreme Deprivation",Bangladesh,BGD,2023,4.301033026,#fdae61,High,Admin,"2024-12-03 09:49:18"
231,"Extreme Discrimination",Bangladesh,BGD,2023,3.634480612,#fdae61,High,Admin,"2024-12-03 09:49:18"
232,Urbanisation,Bangladesh,BGD,2023,4.199999096,#fdae61,High,Admin,"2024-12-03 09:49:18"
233,"Vulnerability to Disasters",Bangladesh,BGD,2023,5,#d73027,"Very High",Admin,"2024-12-03 09:49:18"
234,"Exposure to Violence and Abuse",Bulgaria,BGR,2023,1.894260309,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
235,"Extreme Deprivation",Bulgaria,BGR,2023,2.847250006,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
236,"Extreme Discrimination",Bulgaria,BGR,2023,2.204529212,#a6d96a,Low,Admin,"2024-12-03 09:49:18"
237,Urbanisation,Bulgaria,BGR,2023,3.550071041,#a6d96a,Low,Admin,"2024-12-03 09:49:18"
238,"Vulnerability to Disasters",Bulgaria,BGR,2023,1,#1a9850,"Very Low",Admin,"2024-12-03 09:49:18"
239,"Exposure to Violence and Abuse",Bahrain,BHR,2023,2.448238901,#a6d96a,Low,Admin,"2024-12-03 09:49:18"
